,NTA_Code,TotalPop,NYCHAperc,PreventHosp,DiversityScore,HealthIns
132,QN20,70234.0,0.0,1429.5,83.05606540163096,79.0
133,QN21,38169.0,0.0,1221.9,100.75236969917879,90.7
134,QN22,70193.0,2.6,1013.4,73.45175287220857,75.1
135,QN23,25113.0,0.1,1206.1,85.57277604472114,81.0
136,QN25,57150.0,0.0,1690.2,109.80956242513673,72.7
137,QN26,53290.0,0.0,1143.1,87.17057989941331,58.5
138,QN27,22716.0,0.0,1772.7,88.02488284570448,73.9
139,QN28,105083.0,0.0,1000.3,94.50777745773097,76.7
140,QN29,87373.0,0.0,1044.1,76.76451002904923,72.6
141,QN30,26608.0,0.0,1299.8,75.9954603907365,83.0
142,QN31,63936.0,0.0,1148.9,99.09772954008584,78.4
143,QN33,19688.0,0.0,1120.4,76.01907655319157,89.5
144,QN34,56705.0,0.0,1351.5,76.8518054439842,86.0
145,QN35,40027.0,0.0,1246.5,71.69428150138616,80.1
146,QN37,38081.0,0.0,996.6,64.87480250451634,90.6
147,QN38,33925.0,12.6,1306.6,77.61771704965304,91.4
148,QN41,18074.0,0.0,814.5,76.61709991901286,85.5
149,QN42,28103.0,0.0,838.1,68.5003649625314,88.4
150,QN43,26609.0,0.0,1140.3,70.0756733824228,91.0
151,QN44,22327.0,0.0,774.7,73.33668931714875,92.7
152,QN45,25490.0,0.0,781.4,72.4817218338527,89.3
153,QN46,46667.0,0.0,764.7,77.2976066899875,89.3
154,QN47,22060.0,0.0,916.0,77.30090555743833,94.0
155,QN48,20999.0,0.0,751.1,75.90092226053646,87.3
156,QN49,31948.0,0.0,874.9,92.11677371684269,90.5
157,QN50,26340.0,0.0,711.6,86.26465092956674,76.3
158,QN51,51994.0,0.0,875.1,91.59852618901682,78.4
159,QN52,27012.0,0.0,865.0,76.56957620360713,76.4
160,QN53,61278.0,0.0,1505.0,76.26899763337657,84.5
161,QN54,64049.0,0.0,1421.9,73.90778037527579,81.6
162,QN55,83286.0,0.0,1454.9,67.44397675107838,81.5
163,QN56,22856.0,0.0,1441.3,78.21208346540834,87.1
164,QN57,28742.0,0.0,1235.6,71.00992888322027,93.3
